Date,MD,Home,Away,FTR,HomeG,AwayG,HmOd,DrOd,AwOd,Season,hHome,hAway,hScre,hRnd
2020-02-08 10:30:00,21,Hertha Berlin,Mainz 05,2,1,3,2.05,3.5,3.4,2019-2020,FSV Mainz 05,Hertha Berlin,2-1,4
2020-02-08 10:30:00,21,Schalke 04,SC Paderborn 07,0,1,1,1.5,4.2,6.25,2019-2020,SC Paderborn 07,Schalke 04,1-5,4
2020-02-08 10:30:00,21,Werder Bremen,Union Berlin,2,0,2,2.15,3.5,3.2,2019-2020,Union Berlin,Werder Bremen,1-2,4
2020-02-08 10:30:00,21,Wolfsburg,Fortuna Dusseldorf,0,1,1,1.57,4.0,5.5,2019-2020,Fortuna Dusseldorf,VfL Wolfsburg,1-1,4
2020-02-07 15:30:00,21,Eintracht Frankfurt,Augsburg,1,5,0,1.75,3.6,4.75,2019-2020,Augsburg,Eintracht Frankfurt,2-1,4
2020-02-02 13:00:00,20,SC Paderborn 07,Wolfsburg,2,2,4,4.0,3.8,1.8,2019-2020,VfL Wolfsburg,SC Paderborn 07,1-1,3
2020-02-02 10:30:00,20,FC Cologne,Freiburg,1,4,0,2.2,3.4,3.2,2019-2020,SC Freiburg,FC Koln,1-2,3
2020-02-01 13:30:00,20,RB Leipzig,Borussia M'gladbach,0,2,2,1.57,4.2,5.25,2019-2020,Borussia Monchengladbach,RB Leipzig,1-3,3
2020-02-01 10:30:00,20,Augsburg,Werder Bremen,1,2,1,2.3,3.5,2.9,2019-2020,Werder Bremen,Augsburg,3-2,3
2020-02-01 10:30:00,20,Borussia Dortmund,Union Berlin,1,5,0,1.25,6.25,9.5,2019-2020,Union Berlin,Borussia Dortmund,3-1,3
2020-02-01 10:30:00,20,Fortuna Dusseldorf,Eintracht Frankfurt,0,1,1,3.3,3.5,2.1,2019-2020,Eintracht Frankfurt,Fortuna Dusseldorf,2-1,3
2020-02-01 10:30:00,20,Hoffenheim,Bayer Leverkusen,1,2,1,3.1,3.5,2.2,2019-2020,Bayer Leverkusen,TSG Hoffenheim,0-0,3
2020-02-01 10:30:00,20,Mainz 05,Bayern Munchen,2,1,3,13.0,8.5,1.14,2019-2020,Bayern Munchen,FSV Mainz 05,6-1,3
2020-01-31 15:30:00,20,Hertha Berlin,Schalke 04,0,0,0,2.6,3.3,2.62,2019-2020,Schalke 04,Hertha Berlin,3-0,3
2020-01-26 13:00:00,19,Bayer Leverkusen,Fortuna Dusseldorf,1,3,0,1.44,4.5,6.5,2019-2020,Fortuna Dusseldorf,Bayer Leverkusen,1-3,2
2020-01-26 10:30:00,19,Werder Bremen,Hoffenheim,2,0,3,2.4,3.6,2.7,2019-2020,TSG Hoffenheim,Werder Bremen,3-2,2
2020-01-25 13:30:00,19,Bayern Munchen,Schalke 04,1,5,0,1.12,7.5,21.0,2019-2020,Schalke 04,Bayern Munchen,0-3,2
2020-01-25 10:30:00,19,Borussia M'gladbach,Mainz 05,1,3,1,1.5,4.33,6.0,2019-2020,FSV Mainz 05,Borussia Monchengladbach,1-3,2
2020-01-25 10:30:00,19,Eintracht Frankfurt,RB Leipzig,1,2,0,3.6,4.0,1.85,2019-2020,RB Leipzig,Eintracht Frankfurt,2-1,2
2020-01-25 10:30:00,19,Freiburg,SC Paderborn 07,2,0,2,1.66,4.0,4.75,2019-2020,SC Paderborn 07,SC Freiburg,1-3,2
2020-01-25 10:30:00,19,Union Berlin,Augsburg,1,2,0,2.1,3.6,3.25,2019-2020,Augsburg,Union Berlin,1-1,2
2020-01-25 10:30:00,19,Wolfsburg,Hertha Berlin,2,1,2,2.05,3.5,3.4,2019-2020,Hertha Berlin,VfL Wolfsburg,0-3,2
2020-01-24 15:30:00,19,Borussia Dortmund,FC Cologne,1,5,1,1.28,5.5,10.0,2019-2020,FC Koln,Borussia Dortmund,1-3,2
